Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,playerid
Sheldon Neuse,Athletics,50,217,200,50,10,1,5,23,23,14,63,1,1,1,0.251,0.301,0.382,0.683,0.291,0.9,-0.1,0.4,19635
Daniel Murphy,Rockies,130,560,512,150,36,2,19,71,83,39,81,3,2,1,0.292,0.343,0.483,0.826,0.345,-1,-0.7,0.4,4316
Austin Slater,Giants,65,220,193,48,10,1,5,24,23,22,59,3,3,1,0.251,0.336,0.393,0.728,0.314,0.1,0.2,0.4,16153
Jose Osuna,Pirates,102,321,293,77,21,1,10,38,41,21,60,2,2,1,0.261,0.313,0.441,0.754,0.317,-2.2,-0.4,0.4,12937
Brian Goodwin,Angels,92,399,359,85,19,2,13,47,45,33,113,3,6,2,0.237,0.303,0.411,0.714,0.302,-0.4,0.3,0.4,12858
Kevin Plawecki,Red Sox,34,135,120,30,7,0,3,14,16,11,26,3,0,0,0.246,0.32,0.39,0.71,0.304,0,-0.3,0.4,13807
Michael Perez,Rays,42,166,150,34,7,0,5,18,17,14,43,1,1,1,0.227,0.292,0.369,0.661,0.284,1.6,-0.3,0.4,12977
Jake Lamb,Diamondbacks,73,235,201,47,11,2,9,29,33,30,61,3,2,1,0.232,0.335,0.43,0.765,0.324,-0.9,0.4,0.4,13329
Daniel Robertson,Rays,41,175,151,35,7,1,3,19,16,18,42,4,2,1,0.231,0.328,0.349,0.678,0.299,0.3,-0.2,0.4,14145
Ryan Zimmerman,Nationals,89,285,258,67,14,1,12,35,43,23,60,2,1,0,0.259,0.322,0.461,0.783,0.328,-0.9,-0.1,0.4,4220
Jake Rogers,Tigers,42,166,147,30,6,1,6,18,18,14,50,2,1,1,0.204,0.282,0.372,0.654,0.28,1.8,-0.1,0.4,19452
Tony Kemp,Athletics,50,217,193,50,9,2,3,25,21,18,31,2,6,3,0.259,0.327,0.378,0.705,0.304,-0.7,-0.3,0.4,14894
Dustin Garneau,Astros,36,141,126,26,6,0,5,16,17,11,38,3,0,0,0.207,0.282,0.369,0.651,0.28,1,-0.2,0.4,9433
Aledmys Diaz,Astros,31,133,120,31,7,0,5,17,18,10,20,2,1,1,0.261,0.321,0.44,0.761,0.32,-0.7,-0.2,0.4,15937
Ramon Urias,Orioles,44,189,168,41,10,0,5,22,20,14,42,4,2,1,0.245,0.318,0.394,0.712,0.306,-0.2,-0.1,0.4,sa597169
Chance Sisco,Orioles,78,307,268,64,12,0,10,35,34,27,88,9,1,1,0.238,0.326,0.398,0.724,0.313,-2.9,-0.2,0.4,15694
Curt Casali,Reds,65,257,228,54,10,0,8,26,30,24,62,2,1,1,0.235,0.311,0.384,0.695,0.298,-1.1,-0.4,0.4,12510
Garrett Stubbs,Astros,34,134,120,28,6,0,3,15,13,11,27,2,3,1,0.229,0.3,0.348,0.648,0.282,1,0.3,0.4,18067
Brad Miller,Cardinals,49,130,115,27,6,1,5,15,17,13,35,1,1,1,0.239,0.318,0.446,0.763,0.321,0,-0.2,0.4,12775
James McCann,White Sox,49,196,179,43,8,0,6,20,23,13,54,2,1,1,0.24,0.298,0.39,0.688,0.294,0.9,-0.4,0.4,12859
Myles Straw,Astros,29,126,112,29,4,1,1,15,9,12,24,1,7,2,0.26,0.334,0.33,0.663,0.294,0.6,0.6,0.4,17620
Chad Pinder,Athletics,36,154,141,35,8,0,6,18,19,9,40,2,1,0,0.247,0.303,0.425,0.728,0.308,0.9,-0.2,0.4,15191
Jed Lowrie,Mets,70,201,178,43,9,0,5,22,22,20,40,1,0,0,0.24,0.317,0.387,0.704,0.303,-0.3,-0.4,0.3,4418
Jose Martinez,Rays,57,245,220,59,10,1,7,28,29,21,53,1,2,1,0.269,0.334,0.418,0.752,0.321,-0.1,-0.1,0.3,7996
Matt Beaty,Dodgers,62,166,153,41,9,0,4,19,22,10,24,2,2,1,0.269,0.32,0.425,0.745,0.315,0,0,0.3,17710
Rowdy Tellez,Blue Jays,58,252,227,56,13,0,11,31,35,19,63,3,1,1,0.248,0.312,0.454,0.766,0.32,0.3,-0.2,0.3,15679
Dee Gordon,Mariners,73,315,296,82,10,4,2,34,22,11,46,3,16,5,0.276,0.308,0.356,0.664,0.285,-1.6,1.3,0.3,8203
